Unnamed: 0,id,index,student_id,date,review_text,rating,rating_facilities,rating_clubs,rating_careerService,rating_internet,source,type,token_list,num_token,rating_bin,rating_cat,length_bin,sample_criteria
0,3_1_469_129,0,887111.0,1st June 23,I like my university very much!,5.0,5,5,5,5,data3_557,university review,"['I', 'like', 'my', 'university', 'very', 'much', '!']",7,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
1,3_2_161_233,1,1287025.0,31st May 23,"I am from the USA, so I am comparing my experience to my home UNI to my time at Exeter. My UNI in the US had a lot larger campus, and the gym/rec building was free for students because it was part of the tuition. The buildings at my home UNI were also a lot more modern, and there were more facilities. There was a building for blowing glass, 3D printing, and other things for design. The forum isn't the best. My UNI had a lot larger library, and there was a lot more space for studying. The clubs/societies at Exeter almost all require money to join, and more money each time you want to go to a club event. My UNI back home allocated money to the different clubs, so many were free. The only time you had to pay for clubs at my home UNI was if you were going on a trip. My UNI back home doesn't have a student union. I did not interact with the career services in Exeter. One thing Exeter did better than my home UNI was the internet. My home UNI had some trouble with internet.",3.4,3,3,3,5,data3_557,university review,"['I', 'am', 'from', 'the', 'USA', ',', 'so', 'I', 'am', 'comparing', 'my', 'experience', 'to', 'my', 'home', 'UNI', 'to', 'my', 'time', 'at', 'Exeter', '.', 'My', 'UNI', 'in', 'the', 'US', 'had', 'a', 'lot', 'larger', 'campus', ',', 'and', 'the', 'gym/rec', 'building', 'was', 'free', 'for', 'students', 'because', 'it', 'was', 'part', 'of', 'the', 'tuition', '.', 'The', 'buildings', 'at', 'my', 'home', 'UNI', 'were', 'also', 'a', 'lot', 'more', 'modern', ',', 'and', 'there', 'were', 'more', 'facilities', '.', 'There', 'was', 'a', 'building', 'for', 'blowing', 'glass', ',', '3D', 'printing', ',', 'and', 'other', 'things', 'for', 'design', '.', 'The', 'forum', 'is', ""n't"", 'the', 'best', '.', 'My', 'UNI', 'had', 'a', 'lot', 'larger', 'library', ',', 'and', 'there', 'was', 'a', 'lot', 'more', 'space', 'for', 'studying', '.', 'The', 'clubs/societies', 'at', 'Exeter', 'almost', 'all', 'require', 'money', 'to', 'join', ',', 'and', 'more', 'money', 'each', 'time', 'you', 'want', 'to', 'go', 'to', 'a', 'club', 'event', '.', 'My', 'UNI', 'back', 'home', 'allocated', 'money', 'to', 'the', 'different', 'clubs', ',', 'so', 'many', 'were', 'free', '.', 'The', 'only', 'time', 'you', 'had', 'to', 'pay', 'for', 'clubs', 'at', 'my', 'home', 'UNI', 'was', 'if', 'you', 'were', 'going', 'on', 'a', 'trip', '.', 'My', 'UNI', 'back', 'home', 'does', ""n't"", 'have', 'a', 'student', 'union', '.', 'I', 'did', 'not', 'interact', 'with', 'the', 'career', 'services', 'in', 'Exeter', '.', 'One', 'thing', 'Exeter', 'did', 'better', 'than', 'my', 'home', 'UNI', 'was', 'the', 'internet', '.', 'My', 'home', 'UNI', 'had', 'some', 'trouble', 'with', 'internet', '.']",217,"(2.5, 4.0]",Conf/Neu,"(201.0, 221.0]","Conf/Neu_(201.0, 221.0]"
2,3_3_160_142,2,1286468.0,20th May 23,"Exeter University is generally a lovely place to study at. The Exeter-based campuses are awesome, with a great balance of green/study space. The wifi has been unreliable at times, but overall I don’t have any complaints.",4.0,5,4,4,3,data3_557,university review,"['Exeter', 'University', 'is', 'generally', 'a', 'lovely', 'place', 'to', 'study', 'at', '.', 'The', 'Exeter-based', 'campuses', 'are', 'awesome', ',', 'with', 'a', 'great', 'balance', 'of', 'green/study', 'space', '.', 'The', 'wifi', 'has', 'been', 'unreliable', 'at', 'times', ',', 'but', 'overall', 'I', 'don', '’', 't', 'have', 'any', 'complaints', '.']",43,"(2.5, 4.0]",Conf/Neu,"(41.0, 61.0]","Conf/Neu_(41.0, 61.0]"
3,3_4_273_142,3,486467.0,20th May 23,"Nice facilities and some great lecturers! The mix of online and in-person learning has been very useful. I can’t speak for all societies, but at least the few I’ve joined over the years haven’t had many things going on. So I suggest choosing your clubs wisely!",4.4,4,4,4,5,data3_557,university review,"['Nice', 'facilities', 'and', 'some', 'great', 'lecturers', '!', 'The', 'mix', 'of', 'online', 'and', 'in-person', 'learning', 'has', 'been', 'very', 'useful', '.', 'I', 'can', '’', 't', 'speak', 'for', 'all', 'societies', ',', 'but', 'at', 'least', 'the', 'few', 'I', '’', 've', 'joined', 'over', 'the', 'years', 'haven', '’', 't', 'had', 'many', 'things', 'going', 'on', '.', 'So', 'I', 'suggest', 'choosing', 'your', 'clubs', 'wisely', '!']",57,"(4.0, 5.0]",Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]"
4,3_5_272_119,4,486456.0,19th May 23,The uni is good they provide me with alot of support ultimately in wellbeing services. I am glad they really take into accoun student wellbeing as they priority,4.8,5,5,5,5,data3_557,university review,"['The', 'uni', 'is', 'good', 'they', 'provide', 'me', 'with', 'alot', 'of', 'support', 'ultimately', 'in', 'wellbeing', 'services', '.', 'I', 'am', 'glad', 'they', 'really', 'take', 'into', 'accoun', 'student', 'wellbeing', 'as', 'they', 'priority']",29,"(4.0, 5.0]",Pos,"(21.0, 41.0]","Pos_(21.0, 41.0]"
5,3_6_375_108,5,686418.0,18th May 23,Exeter university has been great! An extremely supportive university I have enjoyed my three years being here.,4.2,5,3,5,4,data3_557,university review,"['Exeter', 'university', 'has', 'been', 'great', '!', 'An', 'extremely', 'supportive', 'university', 'I', 'have', 'enjoyed', 'my', 'three', 'years', 'being', 'here', '.']",19,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
6,3_7_327_15,6,585926.0,10th May 23,"Very good location, just a few minutes walk from the university, excellent facilities, I would recommend it.",5.0,5,5,5,5,data3_557,university review,"['Very', 'good', 'location', ',', 'just', 'a', 'few', 'minutes', 'walk', 'from', 'the', 'university', ',', 'excellent', 'facilities', ',', 'I', 'would', 'recommend', 'it', '.']",21,"(4.0, 5.0]",Pos,"(0.999, 21.0]","Pos_(0.999, 21.0]"
7,3_8_271_251,7,485715.0,4th May 23,"Good, it’s a good university and all the staff are good.",4.0,4,4,4,4,data3_557,university review,"['Good', ',', 'it', '’', 's', 'a', 'good', 'university', 'and', 'all', 'the', 'staff', 'are', 'good', '.']",15,"(2.5, 4.0]",Conf/Neu,"(0.999, 21.0]","Conf/Neu_(0.999, 21.0]"
8,3_9_270_244,8,485636.0,3rd May 23,It's one of the best UK university to study. I am currently doing Masters in Business Analytics from the University. All the professors have been good and helpful throughout the course and have helped with all minor to major doubts.,5.0,5,5,5,5,data3_557,university review,"['It', ""'s"", 'one', 'of', 'the', 'best', 'UK', 'university', 'to', 'study', '.', 'I', 'am', 'currently', 'doing', 'Masters', 'in', 'Business', 'Analytics', 'from', 'the', 'University', '.', 'All', 'the', 'professors', 'have', 'been', 'good', 'and', 'helpful', 'throughout', 'the', 'course', 'and', 'have', 'helped', 'with', 'all', 'minor', 'to', 'major', 'doubts', '.']",44,"(4.0, 5.0]",Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]"
9,3_10_269_244,9,485635.0,3rd May 23,"Exeter University was my first choice and I don't regret my decision. The forum is my favourite area and the grounds are incredible, for a day or night time walk. If you like areas of greenery, large grounds, a supporting and diverse community, then this is the one to go for.",4.6,4,4,5,5,data3_557,university review,"['Exeter', 'University', 'was', 'my', 'first', 'choice', 'and', 'I', 'do', ""n't"", 'regret', 'my', 'decision', '.', 'The', 'forum', 'is', 'my', 'favourite', 'area', 'and', 'the', 'grounds', 'are', 'incredible', ',', 'for', 'a', 'day', 'or', 'night', 'time', 'walk', '.', 'If', 'you', 'like', 'areas', 'of', 'greenery', ',', 'large', 'grounds', ',', 'a', 'supporting', 'and', 'diverse', 'community', ',', 'then', 'this', 'is', 'the', 'one', 'to', 'go', 'for', '.']",59,"(4.0, 5.0]",Pos,"(41.0, 61.0]","Pos_(41.0, 61.0]"
